,acidity_vocab
0,medium acidity
1,medium-high acidity
2,medium acidity
3,high acidity
4,medium-low acidity
5,high acidity
6,high acidity
7,high acidity
8,medium-high acidity
9,medium acidity
10,medium acidity
11,medium-high acidity
12,medium acidity
13,medium-high acidity
14,medium acidity
15,medium-high acidity
16,medium acidity
17,medium-high acidity
18,high acidity
19,medium acidity
20,medium acidity
21,high acidity
22,medium-high acidity
23,medium-high acidity
24,medium acidity
25,medium-high acidity
26,medium-low acidity
27,high acidity
28,medium acidity
29,medium acidity
30,medium acidity
31,high acidity
32,high acidity
33,medium acidity
34,medium-high acidity
35,medium-high acidity
36,high acidity
37,medium-high acidity
38,medium acidity
39,medium-low acidity
40,medium-high acidity
41,medium-low acidity
42,medium-low acidity
43,medium-low acidity
44,high acidity
45,medium acidity
46,medium-high acidity
47,medium-high acidity
48,medium acidity
49,medium-high acidity
50,medium acidity
51,medium-high acidity
52,medium acidity
53,medium-high acidity
54,medium acidity
55,medium-high acidity
56,medium acidity
57,low acidity
58,medium-high acidity
59,medium-high acidity
60,high acidity
61,medium-high acidity
62,high acidity
63,medium acidity
64,medium acidity
65,high acidity
66,medium acidity
67,medium-high acidity
68,medium-high acidity
69,medium-high acidity
70,medium-high acidity
71,high acidity
72,medium-low acidity
73,medium-high acidity
74,medium-high acidity
75,medium acidity
76,medium acidity
77,medium-high acidity
78,medium-high acidity
79,medium-high acidity
80,medium-high acidity
81,medium-high acidity
82,medium-high acidity
83,medium-high acidity
84,medium-high acidity
85,high acidity
86,medium-low acidity
87,medium acidity
88,high acidity
89,medium-high acidity
90,medium-high acidity
