,alcohol_vocab
0,11.5–13.5% ABV
1,13.5–15% ABV
2,13.5–15% ABV
3,11.5–13.5% ABV
4,11.5–13.5% ABV
5,13.5–15% ABV
6,11.5–13.5% ABV
7,13.5–15% ABV
8,11.5–13.5% ABV
9,11.5–13.5% ABV
10,Under 10% ABV
11,11.5–13.5% ABV
12,13.5–15% ABV
13,13.5–15% ABV
14,11.5–13.5% ABV
15,10–11.5% ABV
16,13.5–15% ABV
17,11.5–13.5% ABV
18,11.5–13.5% ABV
19,13.5–15% ABV
20,11.5–13.5% ABV
21,11.5–13.5% ABV
22,11.5–13.5% ABV
23,13.5–15% ABV
24,11.5–13.5% ABV
25,13.5–15% ABV
26,11.5–13.5% ABV
27,11.5–13.5% ABV
28,11.5–13.5% ABV
29,11.5–13.5% ABV
30,11.5–13.5% ABV
31,11.5–13.5% ABV
32,11.5–13.5% ABV
33,11.5–13.5% ABV
34,10–11.5% ABV
35,11.5–13.5% ABV
36,10–11.5% ABV
37,11.5–13.5% ABV
38,Over 15% ABV
39,13.5–15% ABV
40,11.5–13.5% ABV
41,13.5–15% ABV
42,13.5–15% ABV
43,13.5–15% ABV
44,10–11.5% ABV
45,13.5–15% ABV
46,11.5–13.5% ABV
47,11.5–13.5% ABV
48,10–11.5% ABV
49,Under 10% ABV
50,Under 10% ABV
51,13.5–15% ABV
52,13.5–15% ABV
53,11.5–13.5% ABV
54,13.5–15% ABV
55,10–11.5% ABV
56,13.5–15% ABV
57,Over 15% ABV
58,11.5–13.5% ABV
59,11.5–13.5% ABV
60,Under 10% ABV
61,11.5–13.5% ABV
62,11.5–13.5% ABV
63,13.5–15% ABV
64,Over 15% ABV
65,11.5–13.5% ABV
66,13.5–15% ABV
67,11.5–13.5% ABV
68,10–11.5% ABV
69,13.5–15% ABV
70,13.5–15% ABV
71,11.5–13.5% ABV
72,11.5–13.5% ABV
73,10–11.5% ABV
74,11.5–13.5% ABV
75,13.5–15% ABV
76,13.5–15% ABV
77,13.5–15% ABV
78,13.5–15% ABV
79,Over 15% ABV
80,11.5–13.5% ABV
81,11.5–13.5% ABV
82,13.5–15% ABV
83,11.5–13.5% ABV
84,11.5–13.5% ABV
85,11.5–13.5% ABV
86,13.5–15% ABV
87,11.5–13.5% ABV
88,13.5–15% ABV
89,11.5–13.5% ABV
90,11.5–13.5% ABV
