,Grapes
0,agiorgitiko
1,aglianico
2,airén
3,albariño-alvarinho
4,alicante-bouschet
5,aligoté
6,arinto
7,arneis
8,assyrtiko
9,baga
10,barbera
11,castelão
12,blaufränkisch
13,bobal
14,bonarda
15,brachetto
16,cabernet-franc
17,cabernet-sauvignon
18,carignan
19,carménère
20,catarratto
21,catawba
22,chardonnay
23,chasselas
24,chenin-blanc
25,concord
26,cinsault
27,colombard
28,cortese
29,corvina
30,cserszegi-fűszeres
31,encruzado
32,godello
33,dolcetto
34,erbaluce
35,falanghina
36,fernão-pires
37,fiano
38,frappato
39,friulano
40,furmint
41,gaglioppo
42,gamay
43,garganega
44,gewürztraminer
45,graševina
46,loureiro
47,grechetto
48,grenache
49,grenache-blanc
50,grillo
51,grüner-veltliner
52,listán-negro
53,malbec
54,malvasia-fina
55,marsanne
56,melon
57,mencía
58,merlot
59,monastrell-mourvèdre
60,montepulciano
61,moschofilero
62,müllerthurgau
63,muscadine
64,muscat-blanc
65,muscat-of-alexandria
66,nebbiolo
67,negroamaro
68,nerello-mascalese
69,nero-d’avola
70,norton
71,país
72,palomino-fino
73,pedro-ximénez
74,petit-verdot
75,pinotage
76,refosco
77,ribolla-gialla
78,riesling
79,pinot-noir
80,rkatsiteli
81,roussanne
82,petite-sirah
83,picpoul
84,pinot-blanc
85,pinot-gris
86,pinot-meunier
87,sagrantino
88,sangiovese
89,sauvignon-blanc
90,savatiano
91,schiava
92,sémillon
93,silvaner-sylvaner
94,st-laurent
95,syrah
96,tannat
97,tempranillo
98,torrontés
99,touriga-franca
100,touriga-nacional
101,trebbiano-toscano
102,verdejo
103,verdelho
104,verdicchio
105,vermentino
106,vidal
107,viognier
108,viura
109,xarello
110,xinomavro
111,zinfandel-primitivo
112,zweigelt
113,vernaccia-di-san-gimignano
